q,T,strategy,seed,frac,fid_new
2,3.6,random,0,0.01,-0.588
2,3.6,random,0,0.02,-0.625
2,3.6,random,0,0.03,-0.589
2,3.6,random,0,0.05,-0.645
2,3.6,random,0,0.08,-0.422
2,3.6,random,0,0.12,0.826
2,3.6,random,1,0.01,-0.814
2,3.6,random,1,0.02,-0.771
2,3.6,random,1,0.03,-0.8
2,3.6,random,1,0.05,-0.656
2,3.6,random,1,0.08,-0.556
2,3.6,random,1,0.12,0.802
2,3.6,random,2,0.01,-0.773
2,3.6,random,2,0.02,-0.698
2,3.6,random,2,0.03,-0.737
2,3.6,random,2,0.05,-0.849
2,3.6,random,2,0.08,0.644
2,3.6,HC_random,-1,0.12,-1
2,3.6,degree,0,0.01,-0.505
2,3.6,degree,0,0.02,0.698
2,3.6,degree,1,0.01,0.722
2,3.6,degree,2,0.01,-0.66
2,3.6,degree,2,0.02,0.76
2,3.6,HC_degree,-1,0.02,-1
4,1.8,random,0,0.01,-0.639
4,1.8,random,0,0.02,-0.635
4,1.8,random,0,0.03,-0.574
4,1.8,random,0,0.05,-0.683
4,1.8,random,0,0.08,-0.506
4,1.8,random,0,0.12,0.791
4,1.8,random,1,0.01,-0.737
4,1.8,random,1,0.02,-0.734
4,1.8,random,1,0.03,-0.805
4,1.8,random,1,0.05,-0.651
4,1.8,random,1,0.08,-0.583
4,1.8,random,1,0.12,0.826
4,1.8,random,2,0.01,-0.784
4,1.8,random,2,0.02,-0.724
4,1.8,random,2,0.03,-0.753
4,1.8,random,2,0.05,-0.763
4,1.8,random,2,0.08,0.644
4,1.8,HC_random,-1,0.12,-1
4,1.8,degree,0,0.01,-0.464
4,1.8,degree,0,0.02,0.714
4,1.8,degree,1,0.01,0.077
4,1.8,degree,1,0.02,0.755
4,1.8,degree,2,0.01,-0.66
4,1.8,degree,2,0.02,0.755
4,1.8,HC_degree,-1,0.02,-1
8,1.5,random,0,0.01,-0.042
8,1.5,random,0,0.02,0.599
8,1.5,random,1,0.01,-0.521
8,1.5,random,1,0.02,-0.708
8,1.5,random,1,0.03,0.2
8,1.5,random,1,0.05,0.73
8,1.5,random,2,0.01,-0.736
8,1.5,random,2,0.02,0.682
8,1.5,HC_random,-1,0.02,-1
8,1.5,degree,0,0.01,0.689
8,1.5,degree,1,0.01,0.695
8,1.5,degree,2,0.01,0.74
8,1.5,HC_degree,-1,0.01,-1
16,1.5,random,0,0.01,0.559
16,1.5,random,1,0.01,0.286
16,1.5,random,1,0.02,-0.422
16,1.5,random,1,0.03,0.78
16,1.5,random,2,0.01,-0.702
16,1.5,random,2,0.02,0.671
16,1.5,HC_random,-1,0.02,-1
16,1.5,degree,0,0.01,0.667
16,1.5,degree,1,0.01,0.685
16,1.5,degree,2,0.01,0.657
16,1.5,HC_degree,-1,0.01,-1
