P,fid_hebb,fid_hebb_mean,fid_hebb_std,fid_learned,fid_learned_mean,fid_learned_std,frac,kind,rs_hebb_mean,rs_hebb_std,rs_learned_mean,rs_learned_std,seed
1,0.76,,,1.0,,,0.02,h7a,,,,,0
1,0.902,,,1.0,,,0.06,h7a,,,,,0
1,0.909,,,1.0,,,0.1,h7a,,,,,0
1,0.964,,,1.0,,,0.16,h7a,,,,,0
1,0.719,,,1.0,,,0.02,h7a,,,,,1
1,0.902,,,1.0,,,0.06,h7a,,,,,1
1,0.989,,,1.0,,,0.1,h7a,,,,,1
1,0.952,,,1.0,,,0.16,h7a,,,,,1
1,0.708,,,1.0,,,0.02,h7a,,,,,2
1,0.902,,,1.0,,,0.06,h7a,,,,,2
1,0.92,,,1.0,,,0.1,h7a,,,,,2
1,0.952,,,1.0,,,0.16,h7a,,,,,2
1,,0.939,0.035,,1.0,0.0,0.1,h7b,0.939,0.037,1.0,0.0,-1
2,,0.75,0.065,,0.811,0.084,0.1,h7b,0.446,0.042,0.528,0.318,-1
3,,0.583,0.037,,0.614,0.016,0.1,h7b,0.465,0.03,0.447,0.024,-1
5,,0.496,0.07,,0.489,0.085,0.1,h7b,0.427,0.018,0.372,0.026,-1
8,,0.386,0.009,,0.307,0.033,0.1,h7b,0.36,0.007,0.316,0.018,-1
12,,0.284,0.065,,0.277,0.011,0.1,h7b,0.358,0.031,0.331,0.042,-1
