topo,strategy,frac,fid_mean,fid_std
lattice,random,0.01,0.047,0.162
lattice,random,0.037,0.488,0.185
lattice,random,0.064,0.701,0.091
lattice,random,0.091,0.793,0.112
lattice,random,0.119,0.834,0.054
lattice,random,0.146,0.813,0.049
lattice,random,0.173,0.901,0.041
lattice,random,0.2,0.941,0.019
lattice,degree,0.01,0.161,0.264
lattice,degree,0.037,0.371,0.109
lattice,degree,0.064,0.346,0.156
lattice,degree,0.091,0.474,0.091
lattice,degree,0.119,0.477,0.164
lattice,degree,0.146,0.547,0.207
lattice,degree,0.173,0.543,0.217
lattice,degree,0.2,0.554,0.132
lattice,ci,0.01,0.161,0.264
lattice,ci,0.037,0.371,0.109
lattice,ci,0.064,0.346,0.156
lattice,ci,0.091,0.474,0.091
lattice,ci,0.119,0.477,0.164
lattice,ci,0.146,0.547,0.207
lattice,ci,0.173,0.543,0.217
lattice,ci,0.2,0.554,0.132
small_world,random,0.01,0.165,0.114
small_world,random,0.037,0.537,0.099
small_world,random,0.064,0.742,0.094
small_world,random,0.091,0.854,0.041
small_world,random,0.119,0.857,0.035
small_world,random,0.146,0.88,0.027
small_world,random,0.173,0.926,0.069
small_world,random,0.2,0.967,0.024
small_world,degree,0.01,0.373,0.114
small_world,degree,0.037,0.672,0.13
small_world,degree,0.064,0.733,0.029
small_world,degree,0.091,0.784,0.051
small_world,degree,0.119,0.829,0.072
small_world,degree,0.146,0.885,0.026
small_world,degree,0.173,0.923,0.038
small_world,degree,0.2,0.944,0.024
small_world,ci,0.01,0.445,0.173
small_world,ci,0.037,0.68,0.134
small_world,ci,0.064,0.764,0.068
small_world,ci,0.091,0.852,0.036
small_world,ci,0.119,0.843,0.089
small_world,ci,0.146,0.902,0.014
small_world,ci,0.173,0.901,0.034
small_world,ci,0.2,0.929,0.034
scale_free,random,0.01,0.313,0.07
scale_free,random,0.037,0.509,0.043
scale_free,random,0.064,0.585,0.051
scale_free,random,0.091,0.643,0.045
scale_free,random,0.119,0.658,0.055
scale_free,random,0.146,0.708,0.059
scale_free,random,0.173,0.746,0.039
scale_free,random,0.2,0.822,0.031
scale_free,degree,0.01,0.59,0.063
scale_free,degree,0.037,0.793,0.036
scale_free,degree,0.064,0.851,0.033
scale_free,degree,0.091,0.908,0.015
scale_free,degree,0.119,0.928,0.021
scale_free,degree,0.146,0.952,0.023
scale_free,degree,0.173,0.96,0.009
scale_free,degree,0.2,0.959,0.015
scale_free,ci,0.01,0.602,0.063
scale_free,ci,0.037,0.793,0.036
scale_free,ci,0.064,0.851,0.033
scale_free,ci,0.091,0.906,0.021
scale_free,ci,0.119,0.928,0.021
scale_free,ci,0.146,0.95,0.024
scale_free,ci,0.173,0.958,0.006
scale_free,ci,0.2,0.972,0.019
